"Isolate","Pool","Origin","Geographic Origin"
"CH2660","clin_iso_SQ_pool1","Charité Berlin","Berlin"
"CH2527","clin_iso_SQ_pool1","Charité Berlin","Berlin"
"CH2560","clin_iso_SQ_pool1","Charité Berlin","Berlin"
"CH2543","clin_iso_SQ_pool1","Charité Berlin","Berlin"
"CH2608","clin_iso_SQ_pool1","Charité Berlin","Berlin"
"CH2658","clin_iso_SQ_pool1","Charité Berlin","Berlin"
"CH2537","clin_iso_SQ_pool1","Charité Berlin","Berlin"
"CH2591","clin_iso_SQ_pool1","Charité Berlin","Berlin"
"CH2623","clin_iso_SQ_pool1","Charité Berlin","Berlin"
"CH2705","clin_iso_SQ_pool1","Charité Berlin","Berlin"
"CH2718","clin_iso_SQ_pool1","Charité Berlin","Berlin"
"CH2687","clin_iso_SQ_pool1","Charité Berlin","Berlin"
"CH2730","clin_iso_SQ_pool1","Charité Berlin","Berlin"
"CH2699","clin_iso_SQ_pool1","Charité Berlin","Berlin"
"CH2582","clin_iso_SQ_pool1","Charité Berlin","Berlin"
"CH2522","clin_iso_SQ_pool1","Charité Berlin","Berlin"
"CH2598","clin_iso_SQ_pool1","Charité Berlin","Berlin"
"CH2597","clin_iso_SQ_pool1","Charité Berlin","Berlin"
"CH3797","clin_iso_SQ_pool2","Charité Berlin","Berlin"
"CH3882","clin_iso_SQ_pool2","Charité Berlin","Berlin"
"CH3906","clin_iso_SQ_pool2","Charité Berlin","Berlin"
"CH4035","clin_iso_SQ_pool2","Charité Berlin","Berlin"
"CH4047","clin_iso_SQ_pool2","Charité Berlin","Berlin"
"CH4083","clin_iso_SQ_pool2","Charité Berlin","Berlin"
"CH4411","clin_iso_SQ_pool2","Charité Berlin","Berlin"
"CH4418","clin_iso_SQ_pool2","Charité Berlin","Berlin"
"CH4433","clin_iso_SQ_pool2","Charité Berlin","Berlin"
"CH4438","clin_iso_SQ_pool2","Charité Berlin","Berlin"
"CH4459","clin_iso_SQ_pool2","Charité Berlin","Berlin"
"CH4489","clin_iso_SQ_pool2","Charité Berlin","Berlin"
"CH4496","clin_iso_SQ_pool2","Charité Berlin","Berlin"
"CH4507","clin_iso_SQ_pool2","Charité Berlin","Berlin"
"CH4509","clin_iso_SQ_pool2","Charité Berlin","Berlin"
"CH4520","clin_iso_SQ_pool2","Charité Berlin","Berlin"
"CH4528","clin_iso_SQ_pool2","Charité Berlin","Berlin"
"CH4602","clin_iso_SQ_pool2","Charité Berlin","Berlin"
"CH4634","clin_iso_SQ_pool2","Charité Berlin","Berlin"
"CH4681","clin_iso_SQ_pool2","Charité Berlin","Berlin"
"CH4684","clin_iso_SQ_pool2","Charité Berlin","Berlin"
"CH4703","clin_iso_SQ_pool3","Charité Berlin","Berlin"
"CH4704","clin_iso_SQ_pool3","Charité Berlin","Berlin"
"CH4733","clin_iso_SQ_pool3","Charité Berlin","Berlin"
"CH4780","clin_iso_SQ_pool3","Charité Berlin","Berlin"
"CH4785","clin_iso_SQ_pool3","Charité Berlin","Berlin"
"CH4786","clin_iso_SQ_pool3","Charité Berlin","Berlin"
"CH4840","clin_iso_SQ_pool3","Charité Berlin","Berlin"
"CH4860","clin_iso_SQ_pool3","Charité Berlin","Berlin"
